4,a,an,,,,,,,,,,,,,,,,
504,able,abler,ablest,ables,abled,abling,ablings,,,,,,,,,,,
32,about,abouts,,,,,,,,,,,,,,,,
632,above,,,,,,,,,,,,,,,,,
512,across,,,,,,,,,,,,,,,,,
600,act,acts,acted,acting,actings,,,,,,,,,,,,,
658,action,actions,actioned,actioning,actionings,,,,,,,,,,,,,
275,activity,activities,,,,,,,,,,,,,,,,
561,add,adds,added,adding,addings,,,,,,,,,,,,,
712,adjective,adjectives,adj,,,,,,,,,,,,,,,
492,afraid,,,,,,,,,,,,,,,,,
114,after,,,,,,,,,,,,,,,,,
673,afternoon,afternoons,,,,,,,,,,,,,,,,
98,again,,,,,,,,,,,,,,,,,
527,ago,,,,,,,,,,,,,,,,,
551,agree,agrees,agreed,agreeing,agreeings,,,,,,,,,,,,,
383,air,airs,aired,airing,airings,,,,,,,,,,,,,
35,all,alls,,,,,,,,,,,,,,,,
852,allow,allows,allowed,allowing,allowings,,,,,,,,,,,,,
510,almost,almosts,,,,,,,,,,,,,,,,
707,alone,,,,,,,,,,,,,,,,,
311,along,,,,,,,,,,,,,,,,,
375,aloud,,,,,,,,,,,,,,,,,
626,already,,,,,,,,,,,,,,,,,
155,also,,,,,,,,,,,,,,,,,
241,always,,,,,,,,,,,,,,,,,
649,amaze,amazes,amazed,amazing,amazings,,,,,,,,,,,,,
5,and,ands,anded,anding,n,,,,,,,,,,,,,
417,angry,angrier,angriest,,,,,,,,,,,,,,,
99,animal,animals,,,,,,,,,,,,,,,,
198,another,,,,,,,,,,,,,,,,,
130,answer,answers,answered,answering,answerings,,,,,,,,,,,,,
680,ant,ants,,,,,,,,,,,,,,,,
177,any,,,,,,,,,,,,,,,,,
623,anyone,,,,,,,,,,,,,,,,,
346,anything,anythings,,,,,,,,,,,,,,,,
455,apple,apples,,,,,,,,,,,,,,,,
406,area,areas,,,,,,,,,,,,,,,,
339,arm,arms,armed,arming,armings,,,,,,,,,,,,,
110,around,,,,,,,,,,,,,,,,,
520,arrive,arrives,arrived,arriving,arrivings,,,,,,,,,,,,,
579,art,arts,,,,,,,,,,,,,,,,
854,artist,artists,,,,,,,,,,,,,,,,
36,as,,,,,,,,,,,,,,,,,
59,ask,asks,asked,asking,askings,,,,,,,,,,,,,
27,at,,,,,,,,,,,,,,,,,
777,attention,attentions,,,,,,,,,,,,,,,,
633,aunt,aunts,Aunt,Aunts,,,,,,,,,,,,,,
113,away,aways,,,,,,,,,,,,,,,,
332,baby,babies,babied,babying,babys,,,,,,,,,,,,,
88,back,backs,backed,backing,backings,,,,,,,,,,,,,
225,bad,worse,worst,badder,baddest,,,,,,,,,,,,,
386,bag,bags,bagged,bagging,baggings,,,,,,,,,,,,,
309,ball,balls,balled,balling,ballings,,,,,,,,,,,,,
483,banana,bananas,,,,,,,,,,,,,,,,
583,bark,barks,barked,barking,barkings,,,,,,,,,,,,,
790,bat,bats,batted,batting,battings,,,,,,,,,,,,,
2,be,am,m,is,isn,s,are,re,aren,ain,been,was,wasn,were,weren,being,bein,beings
438,beach,beaches,beached,beaching,beachings,,,,,,,,,,,,,
